数据年份,企业名称,营业总收入,资产总额,负债总额,纳税总额,主营业务收入,所有者权益,利润总额,净利润,平均净资产,平均资产总额,社保人数
2019,西安市临潼区美高美装饰工程有限公司,29,4,6,0,29,-1,1,1,--,--,--
2018,西安市临潼区美高美装饰工程有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,西安市临潼区美高美装饰工程有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,中纺院（天津）科技发展有限公司,5700,22100,14000,100,5700,8000,-900,-900,8500,23700,--
2018,中纺院（天津）科技发展有限公司,7200,25400,16300,0,7200,9100,-1200,-1200,9700,24900,100
2017,中纺院（天津）科技发展有限公司,3900,24400,14100,0,3900,10300,-1900,-1900,11200,23400,19
2019,内蒙古久泰新材料销售有限公司,353400,160100,140100,400,353400,19900,0,0,10400,133200,25
2018,内蒙古久泰新材料销售有限公司,133400,106400,105400,200,133400,900,-1,-5,900,53700,25
2017,内蒙古久泰新材料销售有限公司,0,1000,0,0,0,1000,0,0,--,--,--
2019,曲靖市商业银行股份有限公司,233900,5495900,4674000,16500,163400,821800,24000,21800,809800,4581100,400
2018,曲靖市商业银行股份有限公司,141700,3666400,2868600,23500,114000,797800,4800,1900,495000,3220400,300
2017,曲靖市商业银行股份有限公司,138700,2774400,2582100,17400,111900,192300,15900,9700,198700,2898300,300
2019,广州农村商业银行股份有限公司,1999000,79027800,72395700,425100,1995100,6632100,822700,662700,5903300,74907700,--
2018,广州农村商业银行股份有限公司,1810300,70787600,65613100,295100,1804000,5174400,786800,621100,5011100,72179500,--
2017,广州农村商业银行股份有限公司,1352700,73571400,68723600,324000,1348600,4847700,752600,589000,4198900,67697200,7000
2019,天津农村商业银行股份有限公司,1503900,30896700,28017800,150100,1484100,2878900,317000,241900,2663700,31304700,--
2018,天津农村商业银行股份有限公司,1452300,31712800,29264300,121100,1452100,2448400,314700,240400,2339300,30811700,--
2017,天津农村商业银行股份有限公司,1332100,29910600,27680400,134200,1331800,2230200,306000,235200,2171800,30143300,5800
2019,宜家家具配件（上海）有限公司,113500,37100,18600,2600,103700,18400,5400,3900,16500,35900,--
2018,宜家家具配件（上海）有限公司,116800,34700,20100,5200,106000,14500,4400,3200,12900,34400,100
2017,宜家家具配件（上海）有限公司,103300,34200,22900,2700,93500,11200,4800,3500,9500,33500,100
2019,南京春嘉工程塑料有限公司,18700,8800,7900,48,18700,800,2,1,800,8800,--
2018,南京春嘉工程塑料有限公司,20000,8800,7900,72,20000,900,0,0,4300,8700,2
2017,南京春嘉工程塑料有限公司,16500,8600,700,86,16500,1000,2,1,6200,6700,0
2019,青岛天安投资担保有限公司,0,19400,4600,0,0,14700,0,0,14700,19400,--
2018,青岛天安投资担保有限公司,0,19400,4600,0,0,14700,0,0,14700,19400,0
2017,青岛天安投资担保有限公司,0,19400,4600,0,0,14700,0,0,14700,19400,0
2019,宁波银行股份有限公司,3508100,0,121698000,344800,1956300,10073600,1521700,0,-112608500,0,17300
2018,宁波银行股份有限公司,2893000,0,103519000,480000,1912000,8122900,1149700,0,-100501300,0,13600
2017,宁波银行股份有限公司,2531400,0,97483600,377600,2531400,5720600,1016300,935500,-46239000,43645800,12100
2019,上海银行股份有限公司,4858300,220885000,203402000,886500,4856000,17482900,2188900,1994100,16738000,210582000,12200
2018,上海银行股份有限公司,4296400,200279000,184286000,652300,4284700,15992700,1876700,1768000,15291500,189487000,11400
2017,上海银行股份有限公司,3221200,178695000,164105000,350200,3208400,14590100,1581600,1511400,13032500,176275500,11100
2019,成都银行股份有限公司,1272500,55838600,52275600,198400,1261600,3563000,622700,555500,3345300,52533500,--
2018,成都银行股份有限公司,1159000,49228500,46100900,120500,1153800,3127600,508100,465300,2815000,46341200,5500
2017,成都银行股份有限公司,965400,43453900,40951500,143400,954900,2502400,464900,391200,2345700,39739600,5500
2019,湖南华容农村商业银行股份有限公司,43600,832400,794100,3200,43500,38300,4400,3300,36100,800700,300
2018,湖南华容农村商业银行股份有限公司,44500,769000,735000,1600,44500,34000,4800,3100,33600,791500,300
2017,湖南华容农村商业银行股份有限公司,25900,813900,780700,1100,14900,33200,4200,3100,32800,705500,300
2019,山东华鲁恒升化工股份有限公司,1419000,1818700,395600,5000,1419000,1423100,289600,245300,1314900,1842200,3700
2018,山东华鲁恒升化工股份有限公司,1435600,1865700,658900,8000,1414500,1206700,356500,301900,1067800,1733900,3600
2017,山东华鲁恒升化工股份有限公司,1041800,1602100,673200,55600,1028300,928900,143800,122200,872500,1461300,3500
2019,茂名实华东成化工有限公司,328200,100300,58100,2800,326900,42100,10100,8000,41300,90300,400
2018,茂名实华东成化工有限公司,--,80300,39800,1200,324700,40500,5400,4200,39700,79600,500
2017,茂名实华东成化工有限公司,--,78800,39800,3100,336100,38900,9100,7300,38600,68800,500
2019,广州威海数码科技有限公司,0,0,0,0,0,0,0,0,500,400,--
2018,广州威海数码科技有限公司,0,900,0,0,0,1000,0,0,900,900,0
2017,广州威海数码科技有限公司,200,900,0,0,200,900,-3,-3,900,900,0
2019,湖南江华农村商业银行股份有限公司,41300,912700,849400,9800,41100,63200,3000,0,63300,877600,200
2018,湖南江华农村商业银行股份有限公司,43000,842400,779100,4900,25800,63300,3300,0,63300,799600,200
2017,湖南江华农村商业银行股份有限公司,37200,756800,693400,7600,28500,63300,10400,4300,62900,732300,200
2019,广西柳城农村合作银行,33600,698500,641200,2200,26800,57300,4800,4000,54900,670100,200
2018,广西柳城农村合作银行,29300,641800,589100,1300,22900,52600,7200,5800,50400,610000,200
2017,广西柳城农村合作银行,26700,578300,530000,3200,25800,48200,6700,5000,46500,544400,200
2019,邯郸银行股份有限公司,1043800,16995000,16051400,24600,1040500,943600,92200,92200,883100,16458200,--
2018,邯郸银行股份有限公司,760300,15921400,15098800,25200,755700,822500,92600,87200,800500,15538900,1600
2017,邯郸银行股份有限公司,973000,15156500,14378100,43600,971000,778300,139300,117200,775100,14845600,1600
2019,珠海碧辟化工有限公司,1295900,754400,446800,34400,1295900,307500,41100,-1900,308500,810400,200
2018,珠海碧辟化工有限公司,--,866500,557000,26500,1379100,309400,58400,97800,130300,795600,200
2017,珠海碧辟化工有限公司,--,724600,773500,70100,1207100,-48800,-17400,-71900,--,--,0
2019,广东邦家租赁服务有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,广东邦家租赁服务有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,广东邦家租赁服务有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,中国石油天然气股份有限公司西南化工销售分公司,2436200,--,--,14300,2436200,--,27200,27200,--,--,200
2018,中国石油天然气股份有限公司西南化工销售分公司,2215400,--,--,10400,2215400,--,17800,17800,--,--,200
2017,中国石油天然气股份有限公司西南化工销售分公司,2061400,--,--,19300,2061400,--,34100,34100,--,--,200
2019,安庆炼化曙光丁辛醇化工有限公司,129300,70400,27600,300,125100,42700,-7500,-7500,--,--,--
2018,安庆炼化曙光丁辛醇化工有限公司,--,--,--,--,--,--,--,--,--,--,0
2017,安庆炼化曙光丁辛醇化工有限公司,122700,83000,31000,49,122700,51900,-2800,-2800,53200,82300,0
2019,中国农业发展银行,8784700,710278000,692987000,2088800,8767900,17290300,2133300,1918800,16329000,697778000,53200
2018,中国农业发展银行,9072200,685278000,669911000,1462100,9052300,15366700,1952800,1811700,14463000,653634500,52800
2017,中国农业发展银行,8356600,621991000,608432000,1115100,8259200,13558700,1729900,1711700,12704500,591808500,53000
2019,重庆市协心科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,重庆市协心科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,重庆市协心科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,滕州市振翔煤业有限公司,0,1600,900,0,0,700,0,0,700,1600,--
2018,滕州市振翔煤业有限公司,0,1600,900,0,0,700,0,0,700,1600,0
2017,滕州市振翔煤业有限公司,0,1600,900,0,0,700,0,0,700,1600,0
2019,湖南岳阳巴陵农村商业银行股份有限公司,25700,743400,674900,500,12600,68500,7,5,65700,681300,300
2018,湖南岳阳巴陵农村商业银行股份有限公司,32000,619200,556300,900,16200,62900,0,0,24300,648500,300
2017,湖南岳阳巴陵农村商业银行股份有限公司,22400,677700,691900,78,11800,-14200,4,4,-13200,547500,300
2019,中国银行股份有限公司,44517500,1977380000,1812000000,5248700,40273600,165388000,20576400,16576400,154910000,1915840000,5500
2018,中国银行股份有限公司,41630000,1854300000,1709860000,4591800,38713200,144443000,18840100,15946000,140095000,1785445000,5400
2017,中国银行股份有限公司,39382900,1716590000,1580840000,5988500,37098100,135743000,18101700,15147300,131825000,1657695000,5300
2019,上海戎谷水产有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,上海戎谷水产有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,上海戎谷水产有限公司,0,0,0,0,0,0,0,0,0,0,0
2019,英雄联盟（广州）科技有限公司,0,0,4,0,0,-4,-2,-2,-1,0,0
2018,英雄联盟（广州）科技有限公司,0,0,0,0,0,0,0,0,0,0,0
2017,英雄联盟（广州）科技有限公司,0,0,1,0,0,0,0,0,--,--,0
2019,遂宁银行股份有限公司,130900,4853600,4361800,16200,130600,491800,60400,44600,478100,5031300,--
2018,遂宁银行股份有限公司,114700,5208900,4744500,30300,114600,464400,57700,43700,448400,5552300,700
2017,遂宁银行股份有限公司,106400,5895700,5463200,19500,107900,432400,69900,52000,407000,4977900,700
2019,中国工商银行股份有限公司,74377100,2840480000,2584000000,11718900,74377100,256481000,37087100,29732500,240220000,2723435000,4200
2018,中国工商银行股份有限公司,69286300,2606390000,2382430000,10870500,69286300,223961000,35173300,28317900,214635000,2535135000,4200
2017,中国工商银行股份有限公司,64341600,2463880000,2258570000,10794300,64341600,205305000,34345700,27059200,197745000,2370940000,3900
2019,镇海石化工业贸易有限责任公司,237100,117900,109100,900,237100,8800,-3300,-2700,10800,110200,--
2018,镇海石化工业贸易有限责任公司,162400,102600,89700,26800,162400,12800,-1800,-1300,14300,121900,400
2017,镇海石化工业贸易有限责任公司,147100,141300,125500,1200,147100,15800,1900,2000,15400,120400,400
2019,广州银罗湾投资有限公司,0,0,0,0,0,0,0,0,0,0,--
2018,广州银罗湾投资有限公司,0,0,0,0,0,0,0,0,0,0,0
2017,广州银罗湾投资有限公司,0,0,0,0,--,0,0,0,0,1,0
2019,蚌埠农村商业银行股份有限公司,67400,1792000,1609800,9500,61600,182200,7300,600,181900,1506400,400
2018,蚌埠农村商业银行股份有限公司,42200,1220700,1038900,6700,39700,181700,5600,2700,148900,676800,400
2017,蚌埠农村商业银行股份有限公司,26400,133000,16800,9800,26100,116100,-100,-1600,113100,181500,400
2019,广东金豪投资开发有限公司,0,200,3,0,0,200,-2,-2,200,200,--
2018,广东金豪投资开发有限公司,2,200,0,0,2,200,0,0,200,200,0
2017,广东金豪投资开发有限公司,1,200,0,0,1,200,0,0,200,200,0
2019,安徽昊源化工集团有限公司,587000,754900,497900,16000,571200,257000,45400,43500,227100,709900,1900
2018,安徽昊源化工集团有限公司,620000,664900,467700,2600,604600,197200,57600,51900,174000,579600,1800
2017,安徽昊源化工集团有限公司,407800,494200,343400,200,397400,150800,20100,18500,144000,415800,2200
2019,广东仁化农村商业银行股份有限公司,19500,461600,407300,1900,18800,54300,6600,5100,52100,465100,100
2018,广东仁化农村商业银行股份有限公司,--,468500,418500,1900,20800,49900,6500,5000,40500,452000,100
2017,广东仁化农村商业银行股份有限公司,19000,435500,404500,1100,0,31000,1000,300,31000,409300,100
2019,南京金陵亨斯迈新材料有限责任公司,655800,516800,284200,28800,655600,232600,63100,46900,215500,535800,--
2018,南京金陵亨斯迈新材料有限责任公司,680600,554800,356400,15400,680400,198400,6000,44500,174200,557700,200
2017,南京金陵亨斯迈新材料有限责任公司,240400,560600,410500,900,240400,150000,-2600,-1000,149500,498600,200
2019,广州鹿山新材料股份有限公司,51600,63600,11700,1300,51300,51800,7300,6300,50000,64500,200
2018,广州鹿山新材料股份有限公司,48500,65400,17100,1000,48500,48600,5600,4800,45900,63500,200
2017,广州鹿山新材料股份有限公司,51600,61700,18100,1100,51500,43500,4600,4000,37000,53400,200
2019,赣州银行股份有限公司,758500,16941400,15736700,58900,528600,1204700,112300,94400,1067900,15294100,2700
2018,赣州银行股份有限公司,594300,13646900,12715700,40700,400400,931200,105300,86500,870200,12912900,2400
2017,赣州银行股份有限公司,256200,12179000,11369800,40400,256200,809100,93300,77300,724700,11430600,2400
2019,莱芜市义和信息材料科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,莱芜市义和信息材料科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,莱芜市义和信息材料科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,大庆联谊石化股份有限公司助剂厂,197500,--,--,800,197500,--,2100,2100,--,--,--
2018,大庆联谊石化股份有限公司助剂厂,241000,--,--,3100,241000,--,5500,5500,--,--,100
2017,大庆联谊石化股份有限公司助剂厂,175800,--,--,20600,175800,--,--,-6700,--,--,2200
2019,恒力炼化产品销售（大连）有限公司,0,900,0,27,0,900,0,0,900,900,--
2018,恒力炼化产品销售（大连）有限公司,0,900,0,0,0,900,-5,-5,--,--,0
2017,恒力炼化产品销售（大连）有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,上海银兔图文设计有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,上海银兔图文设计有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,上海银兔图文设计有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,浙江恒逸石化销售有限公司,2915900,329900,322500,7300,2915900,7300,7400,5700,14400,203900,200
2018,浙江恒逸石化销售有限公司,1682400,78000,56300,7900,12000,21600,12000,9000,17000,57400,100
2017,浙江恒逸石化销售有限公司,420900,36900,24400,500,420900,12500,10000,7500,--,--,100
2019,乌鲁木齐银行股份有限公司,335300,15852000,14375100,67900,335300,1476800,177100,134500,1429100,15560200,--
2018,乌鲁木齐银行股份有限公司,339400,15268400,13887000,70000,339400,1381400,173000,131500,1314900,15338000,1900
2017,乌鲁木齐银行股份有限公司,325500,15407700,14159200,33100,325500,1248500,160900,127700,1206600,14238000,1900
2019,晋江市锦福化纤聚合有限公司,282700,202000,185100,1800,118000,16900,-9100,-9100,21400,190400,--
2018,晋江市锦福化纤聚合有限公司,307700,178800,152800,1200,165100,26000,2600,2600,24700,178000,100
2017,晋江市锦福化纤聚合有限公司,307600,177100,153700,600,151600,23400,6900,6900,19900,169300,100
2019,广州市国盛投资有限公司,0,22300,21600,0,0,600,0,0,600,21800,2
2018,广州市国盛投资有限公司,32,21400,20700,1,32,700,-100,-100,700,21500,8
2017,广州市国盛投资有限公司,100,21500,20700,6,100,800,0,0,800,22300,15
2019,国家开发银行,19212400,1634480000,1502010000,8329000,16528900,132474000,13547100,11148400,128215000,1616665000,--
2018,国家开发银行,23964700,1598850000,1474890000,4621300,17470000,123961000,12998100,10936100,121090000,1583455000,9300
2017,国家开发银行,14137600,1568060000,1449840000,8003800,17107700,118220000,13251700,10706800,114350000,1486185000,9200
2019,中国石油天然气股份有限公司华南化工销售海口分公司,0,--,--,0,0,--,--,0,--,--,0
2018,中国石油天然气股份有限公司华南化工销售海口分公司,102900,--,--,300,102900,--,500,500,--,--,0
2017,中国石油天然气股份有限公司华南化工销售海口分公司,89300,--,--,100,89300,--,1700,1700,--,--,0
2019,湖南岳化化工股份有限公司,198100,37400,32100,1200,198100,5200,-22717900,-22717900,6300,36100,300
2018,湖南岳化化工股份有限公司,209900,34800,27300,1800,75600,7500,6100,5200,7200,33400,300
2017,湖南岳化化工股份有限公司,147200,32000,25000,800,147200,7000,600,500,6800,29000,500
2019,中国石油天然气股份有限公司华北化工销售分公司,2484600,--,--,9000,2484600,--,14500,14500,--,--,--
2018,中国石油天然气股份有限公司华北化工销售分公司,2169800,--,--,12200,2169800,--,12100,12100,--,--,100
2017,中国石油天然气股份有限公司华北化工销售分公司,210100,--,--,18700,210100,--,22300,22300,--,--,100
2019,宝来石化销售（上海）有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,宝来石化销售（上海）有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,宝来石化销售（上海）有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,广东中京新联信息科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,广东中京新联信息科技有限公司,0,0,0,0,0,0,0,0,400,500,0
2017,广东中京新联信息科技有限公司,1500,1000,12,25,1500,900,0,0,--,--,42
2019,洛阳银行股份有限公司,1200000,24718000,22838900,158900,1157400,1879100,193900,158100,1819100,23696700,--
2018,洛阳银行股份有限公司,1108200,22675500,20916400,101100,1064300,1759100,162100,132600,1678100,21702100,2400
2017,洛阳银行股份有限公司,970800,20728700,19131500,146000,911700,1597100,334900,255700,1496300,19514500,2300
2019,广州市国鑫信息科技有限公司,14,44,300,0,14,-200,-2,-2,-200,36,1
2018,广州市国鑫信息科技有限公司,32,28,300,0,32,-200,0,0,-200,16,6
2017,广州市国鑫信息科技有限公司,35,4,200,0,35,-200,-100,-100,0,2,0
2019,东亚银行（中国）有限公司,223700,5068200,4938100,27200,221900,130000,-368800,-373200,230500,3871100,1000
2018,东亚银行（中国）有限公司,49500,2673900,2342900,31700,46800,331000,-46600,-47400,331000,2673900,900
2017,东亚银行（中国）有限公司,49500,2673900,2342900,31700,46800,331000,-46600,-47400,385600,2478800,700
2019,天津金发新材料有限公司,232900,228300,62900,5000,230500,165300,6800,6500,162000,227500,--
2018,天津金发新材料有限公司,245400,226800,68000,4700,243600,158700,3500,3900,156700,240000,0
2017,天津金发新材料有限公司,271400,253100,98300,3800,270200,154800,4800,4500,152500,251600,0
2019,宁夏宝丰能源集团股份有限公司,981400,3229900,1193200,64500,961200,2036600,340700,318700,1584100,2912500,9100
2018,宁夏宝丰能源集团股份有限公司,979800,2595200,1463600,108800,962600,1131600,285800,261900,1074700,2511800,7700
2017,宁夏宝丰能源集团股份有限公司,1050600,2428400,1410400,151000,1027100,1017900,198200,177500,1045800,2553800,6000
2019,贵州银行股份有限公司,1070500,40938900,37550000,174800,1070500,3388900,409100,356300,2989100,37544000,4800
2018,贵州银行股份有限公司,873500,34149100,31559700,171200,841900,2589300,331100,288200,2361300,31440800,4400
2017,贵州银行股份有限公司,852100,28732600,26599300,152800,852100,2133200,265000,228100,1890600,25864200,4200
2019,泉州利昌新材料科技有限公司,48800,44400,18600,2000,48800,25800,2300,1700,24900,42400,--
2018,泉州利昌新材料科技有限公司,42100,40300,16200,1900,42100,24100,1900,1400,23300,37400,85
2017,泉州利昌新材料科技有限公司,38100,34400,11700,2000,37400,22600,2400,1900,21700,33200,74
2019,江苏超跃化学有限公司,153000,80400,82400,0,153000,-2000,4800,4800,-3000,84500,300
2018,江苏超跃化学有限公司,148400,88700,92700,2300,127400,-22400,2300,2300,-8000,90600,300
2017,江苏超跃化学有限公司,126600,92400,104600,3300,18000,-12100,33,33,-12200,133700,300
2019,佛山市顺德区乐从镇嘉粤钢材有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,佛山市顺德区乐从镇嘉粤钢材有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,佛山市顺德区乐从镇嘉粤钢材有限公司,--,1000,0,0,0,1000,0,0,900,900,0
2019,浙江石油化工有限公司,330500,12911900,9598400,236300,330000,3313400,43700,66600,1656800,6456300,6200
2018,浙江石油化工有限公司,0,700,400,5000,0,200,0,0,951000,1036700,4400
2017,浙江石油化工有限公司,0,2072700,170900,2100,0,1901800,2500,1800,1100800,1197600,2300
2019,怀化农村商业银行股份有限公司,41600,756300,666400,3500,41600,89900,800,0,89900,723600,--
2018,怀化农村商业银行股份有限公司,37400,690800,600900,2500,37400,89900,3100,0,78700,742600,400
2017,怀化农村商业银行股份有限公司,35800,794400,727000,1900,35800,67400,4300,2700,65900,703600,400
2019,北京银行股份有限公司,6157400,269153000,248535000,1077000,6145700,20618200,2453700,2113700,19899000,261421500,1700
2018,北京银行股份有限公司,5433400,253690000,234510000,1093700,5421900,19179800,2317200,1991200,18296000,242068000,1700
2017,北京银行股份有限公司,4917200,230446000,213034000,981100,4905800,17411600,2223900,1844900,15788500,220113000,1800
2019,中国农业银行股份有限公司,59159800,2470720000,2277190000,9298000,58997600,193539000,25939100,20623200,179935000,2358555000,464000
2018,中国农业银行股份有限公司,57262900,2246390000,2080050000,8383200,57223800,166338000,24717900,19867200,154345000,2168860000,473600
2017,中国农业银行股份有限公司,50732900,2091330000,1948980000,6088700,50696000,142351000,23766400,19171400,137255000,2024170000,495800
2019,凤县嘉庆矿业有限责任公司,--,--,--,--,--,--,--,--,--,--,--
2018,凤县嘉庆矿业有限责任公司,0,600,0,0,0,0,0,0,600,600,0
2017,凤县嘉庆矿业有限责任公司,0,600,15,0,0,600,0,0,600,600,0
2019,武汉金发科技有限公司,183200,168300,83500,3200,183200,84700,1900,1400,84000,175800,--
2018,武汉金发科技有限公司,190900,183300,100000,2200,190900,83200,8300,7600,80800,193200,400
2017,武汉金发科技有限公司,140100,203200,124700,3000,140100,78400,8100,7200,73100,189200,400
2019,恒力石化（大连）炼化有限公司,5702500,10456400,8426100,983300,5702500,2030100,751100,564400,1889400,8730000,5100
2018,恒力石化（大连）炼化有限公司,38,7003600,5254900,236200,0,1748700,-4400,-4400,1018200,4372800,2900
2017,恒力石化（大连）炼化有限公司,0,1741900,1454100,9200,0,287800,-2300,-2300,288900,1047300,1500
2019,上海水元实业有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,上海水元实业有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,上海水元实业有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,福建省国银投资集团有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,福建省国银投资集团有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,福建省国银投资集团有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,华融湘江银行股份有限公司,934500,36677700,34279600,165900,938000,2398100,377100,301600,2297100,35111400,4200
